name,yelping_since,average_stars,user_id,review_count
Jesse,2011-05-01,3.74,DWfos3PxcrkqAJoAZHEg3A,143
Lauren,2011-01-10,3.76,vLixm38Zd-xgAvN1LQJfKQ,367
Neha,2012-05-01,3.47,JmMXYQJio5eXgOvVZl_xGw,209
Jennifer,2010-07-30,3.69,N0qq4upibIRvLzE2SzVPtQ,376
Dee,2012-04-09,3.48,DQ5Szn4T14ddEd6F5jHHpg,173
Kellee,2010-01-19,3.45,ZsUSGU1-L1ImomLZjXxxTg,606
EJay,2009-03-28,3.45,HRyFtrmf19GTKEM_kOa2pg,368
Shari,2007-06-17,3.6,7HOTOydGS7wJYaJqNoDfeg,294
Cindy,2012-03-16,2.82,y5YNzZwQuYxgE-jSDcZLxA,357
Shannon,2009-05-24,4.31,tQVTyovdm4doXxDSkfYUUw,268
Mel,2011-02-06,4.21,3CMiTAhq_o_GP1tLs-ihbg,588
Sophia,2014-06-05,4.29,LTCxnnAQGaGZPHZx4KbvGA,203
Keith,2007-11-14,3.55,N044aCKJv3G5WuvwT5AJcA,400
Kent,2010-05-07,3.48,fAfGwjh5A_ydd0A4ZdGenw,507
Sam,2012-05-02,4.26,NwxF1Ftc-4P5Pl_SSXThQA,263
Justine,2011-08-15,3.38,LmWO_u9v7e1vMJlNykjUoA,207
Steve,2010-11-08,3.62,sADnfWdDNhHnrox8vc4Kkg,250
Elizabeth,2012-08-23,4.44,Hw5riZfnB-B7G79vBTOssA,373
Mr,2006-09-03,3.45,AKXqbuifvfvNEpr3Qs51hQ,380
Cara,2014-01-27,4.06,RlpkcJqctkKXl-LO1IAtig,473
Ernesto,2012-05-29,3.63,LnnYSUlw_MVdtoYUt4oZ5g,234
Poco,2011-07-12,4.19,D43OWyfzIQjL8feJpYh2SQ,476
Nydia,2011-01-14,3.91,04J_q_VhSBItxNiEAN-gkA,441
Elizabeth,2010-04-06,3.9,zgV0ZroIF956gw4cul8MHA,608
Jen,2007-12-25,3.73,Xxvz5g67eaCr3emnkY5M6w,2075
Tiff,2012-02-17,3.15,m7z-tX6XDZ27xGhGjnI21w,535
Brian,2008-08-22,4.21,qOn1VFThKD5y5zrFEQXpGA,180
Teresa,2011-02-06,4.39,7GVA958q4zs5Z8cdHauU5Q,835
Kaitlin,2010-06-24,3.68,i6nzTfZ8TRckJOGgZIpr5Q,613
Lisa,2014-06-02,3.93,8Ox2EA8A7FVSzVEM3TRn7Q,198
Ellen,2014-01-10,3.69,55bAo20xQNIA2CfMKIDtPA,210
Maheen,2011-08-15,3.8,gS4QCL6j_umAyfJXBGAZJQ,400
Shigeru,2014-12-22,3.21,mvq6mTZBd3mdDg_bZRWiuQ,263
Evan,2009-09-22,3.81,CcOgdfEJxgrxTAwag5k18Q,484
Veronika,2010-05-10,3.59,RoJCMSycQZGEefAh8-OHJg,287
Andrew,2008-07-11,3.79,Ksp1e9Dw0Jcog_ZBD3-45g,554
Lesley,2011-11-05,3.27,HWLr60IBXAy9HD23W3Xmfg,311
Ashley,2012-05-03,4.32,OW0PZxoGFGSOthAmN_cSUg,212
Steph,2009-10-24,3.46,8HCEPF0IflyB690Q745fKg,523
Rachel,2009-09-18,3.97,Ytjon2aVUm09CMdfGJxZYg,636
Anna,2009-03-10,3.82,jyz8-hAPGRjurBVp9DST9A,337
Nora,2010-09-08,3.69,TVkU2gHhe05v_lgsE_NccA,509
